File Name,Part3_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3
Part1_E(1.24)Part3_E(2.11)Part7_E(2.25)Part10_E(2.38)Part11_E(1.02),2.11,0.015,1.25,1.75,1.2602113977520182,1.2605693385459442,1.261030503,-2.270542526,-2.270763499,-2.271262136
Part1_E(1.13)Part3_E(1.66)Part7_E(1.3)Part10_E(2.17)Part11_E(2.44),1.66,0.015,1.25,1.75,1.2538360502182575,1.2544593353620237,1.254989254941967,-2.262013265,-2.262872358,-2.262967784
Part1_E(1.82)Part3_E(1.59)Part7_E(2.36)Part10_E(1.07)Part11_E(1.74),1.59,0.015,1.25,1.75,1.2573177544347087,1.2577915864263578,1.2584708979030723,-2.265612771,-2.265999117,-2.266689467
Part1_E(1.99)Part3_E(1.18)Part7_E(1.2)Part10_E(1.73)Part11_E(2.2),1.18,0.015,1.25,1.75,1.256588151547242,1.2572103605157237,1.2580645375114663,-2.262651866,-2.26327101,-2.264106176
Part1_E(1.61)Part3_E(1.35)Part7_E(1.69)Part10_E(2.37)Part11_E(2.34),1.35,0.015,1.25,1.75,1.2552633956109018,1.2559091972144012,1.2566159923060158,-2.26221091,-2.262968271,-2.263450288
Part1_E(1.39)Part3_E(2.32)Part7_E(2.17)Part10_E(1.38)Part11_E(1.06),2.32,0.015,1.25,1.75,1.2580981402926006,1.2584234096784308,1.2588261659005189,-2.26877986,-2.269045099,-2.269364773
Part1_E(1.27)Part3_E(2.27)Part7_E(2.19)Part10_E(2.25)Part11_E(2.4),2.27,0.015,1.25,1.75,1.2514417556025716,1.251874446103629,1.2522769669830338,-2.261200887,-2.261761347,-2.261882989
Part1_E(2.22)Part3_E(2.24)Part7_E(2.31)Part10_E(1.02)Part11_E(2.14),2.24,0.015,1.25,1.75,1.2516673830905287,1.252010506174402,1.2524897257682537,-2.261480812,-2.261738852,-2.262217133
Part1_E(1.03)Part3_E(1.41)Part7_E(2.25)Part10_E(1.88)Part11_E(1.86),1.41,0.015,1.25,1.75,1.2588340834475429,1.259544369108472,1.2602172781994043,-2.266360031,-2.267256556,-2.267582556
Part1_E(1.62)Part3_E(1.3)Part7_E(1.52)Part10_E(2.14)Part11_E(1.89),1.3,0.015,1.25,1.75,1.2584662119065997,1.259084742576562,1.259874962657948,-2.265409458,-2.266033486,-2.266764068
Part1_E(2.36)Part3_E(2.17)Part7_E(2.01)Part10_E(1.85)Part11_E(1.24),2.17,0.015,1.25,1.75,1.2564804603621282,1.2567358662241777,1.2572683910740805,-2.266679203,-2.266919271,-2.267169545
Part1_E(1.71)Part3_E(1.06)Part7_E(2.19)Part10_E(1.74)Part11_E(1.58),1.06,0.015,1.25,1.75,1.2632302129662023,1.2638738484529648,1.2648797179228408,-2.268876507,-2.269446127,-2.270497722
Part1_E(2.36)Part3_E(1.17)Part7_E(1.6)Part10_E(1.87)Part11_E(1.64),1.17,0.015,1.25,1.75,1.2606520218338042,1.2611374800345765,1.2620989016226916,-2.266942795,-2.267423939,-2.268236179
Part1_E(2.3)Part3_E(1.16)Part7_E(1.03)Part10_E(2.35)Part11_E(1.08),1.16,0.015,1.25,1.75,1.267687006201983,1.2680075963767348,1.2690585358385469,-2.274343029,-2.274759126,-2.275244058
Part1_E(1.48)Part3_E(1.26)Part7_E(1.65)Part10_E(1.4)Part11_E(2.39),1.26,0.015,1.25,1.75,1.255594573147934,1.2563133491631493,1.2570394643317346,-2.262058534,-2.262953807,-2.263363614
Part1_E(2.33)Part3_E(1.92)Part7_E(1.06)Part10_E(1.28)Part11_E(2.19),1.92,0.015,1.25,1.75,1.2526431915993923,1.2530291039100692,1.253596146168204,-2.261691352,-2.26198816,-2.262560377
Part1_E(1.7)Part3_E(2.26)Part7_E(1.55)Part10_E(2.36)Part11_E(2.24),2.26,0.015,1.25,1.75,1.251659054586329,1.2520464330304957,1.2524883057480034,-2.261467939,-2.261862866,-2.262199819
Part1_E(2.1)Part3_E(1.83)Part7_E(1.92)Part10_E(1.13)Part11_E(2.11),1.83,0.015,1.25,1.75,1.253591131769494,1.2540103754967609,1.2545962333883105,-2.262437846,-2.262777944,-2.263369668
Part1_E(2.17)Part3_E(2.27)Part7_E(2.09)Part10_E(1.89)Part11_E(1.22),2.27,0.015,1.25,1.75,1.2562205564633666,1.2564802012304122,1.2569742557661416,-2.266638865,-2.266878776,-2.26711837
Part1_E(1.99)Part3_E(2.12)Part7_E(1.67)Part10_E(1.91)Part11_E(1.99),2.12,0.015,1.25,1.75,1.2529539001129746,1.2533244551059508,1.253826177845746,-2.262595311,-2.262885405,-2.263385971
Part1_E(2.2)Part3_E(1.82)Part7_E(1.3)Part10_E(1.5)Part11_E(1.93),1.82,0.015,1.25,1.75,1.254440201651282,1.2548363610321922,1.2554416621137523,-2.263352409,-2.263648463,-2.264260067
Part1_E(2.4)Part3_E(1.26)Part7_E(2)Part10_E(1.07)Part11_E(2.16),1.26,0.015,1.25,1.75,1.255978635786804,1.256496085,1.257344581549802,-2.262514193,-2.262953533,-2.263834088
Part1_E(1.07)Part3_E(1.64)Part7_E(2.43)Part10_E(2.39)Part11_E(1.55),1.64,0.015,1.25,1.75,1.259529931538411,1.2601019047095166,1.2607077627585677,-2.268159316,-2.268792539,-2.269218818
Part1_E(1.01)Part3_E(2.18)Part7_E(1.81)Part10_E(1.68)Part11_E(2.18),2.18,0.015,1.25,1.75,1.2528741893862985,1.2533449062780937,1.253753964525979,-2.262556863,-2.263195963,-2.263266671
Part1_E(1.65)Part3_E(2.11)Part7_E(1.64)Part10_E(1.17)Part11_E(2.14),2.11,0.015,1.25,1.75,1.252675454518415,1.2530894489751545,1.2535663609819374,-2.262219111,-2.262639378,-2.263014049
Part1_E(1.71)Part3_E(2.13)Part7_E(1.19)Part10_E(2.04)Part11_E(1.94),2.13,0.015,1.25,1.75,1.2534087676815475,1.2538006699850768,1.2542849984010471,-2.263101931,-2.263450222,-2.263904177
Part1_E(2.21)Part3_E(1.31)Part7_E(1.08)Part10_E(1.44)Part11_E(1.64),1.31,0.015,1.25,1.75,1.2596457067269275,1.260122084251666,1.2609772432127635,-2.266752927,-2.267208523,-2.267935722
Part1_E(1.37)Part3_E(2.45)Part7_E(2.44)Part11_E(2.27),2.45,0.015,1.25,1.75,1.2511832766932696,1.2515678448269083,1.2519504202789484,-2.261329731,-2.261790004,-2.261968814
Part1_E(1.22)Part3_E(1.72)Part7_E(1.73)Part10_E(1.36)Part11_E(2.01),1.72,0.015,1.25,1.75,1.255633175060901,1.2561927413128002,1.2567521159392625,-2.264222404,-2.264898701,-2.265200208
Part1_E(2.01)Part3_E(1.54)Part7_E(1.15)Part10_E(1.04)Part11_E(2.13),1.54,0.015,1.25,1.75,1.2549988583689042,1.2554961072050703,1.2561801810244355,-2.26286771,-2.263310801,-2.264005798
Part1_E(1.24)Part3_E(2.17)Part7_E(1.8)Part10_E(1.8)Part11_E(1.09),2.17,0.015,1.25,1.75,1.259140995427225,1.2594981464642026,1.259946169315671,-2.269525562,-2.26978507,-2.270218868
Part1_E(2.15)Part3_E(2.15)Part7_E(2.28)Part10_E(2.5)Part11_E(1.22),2.15,0.015,1.25,1.75,1.2569720649076908,1.257244991535847,1.2577720271493382,-2.267151996,-2.267408118,-2.267667324
Part1_E(2.3)Part3_E(2.09)Part7_E(2.39)Part10_E(1.36)Part11_E(1.46),2.09,0.015,1.25,1.75,1.2555740420203425,1.2558684553261084,1.256422158969026,-2.265440081,-2.26571733,-2.266020968
Part1_E(2.48)Part3_E(1.47)Part7_E(1.36)Part10_E(1.79)Part11_E(2.02),1.47,0.015,1.25,1.75,1.2555597064272974,1.2559993829655736,1.2567574363612073,-2.263186512,-2.263521724,-2.264297831
Part1_E(1.18)Part3_E(2.41)Part7_E(1.12)Part10_E(1.76)Part11_E(1.52),2.41,0.015,1.25,1.75,1.2548431311165875,1.255208812719496,1.2556031707340862,-2.265335629,-2.265693699,-2.266003164
Part1_E(1.54)Part3_E(1.33)Part7_E(2.16)Part10_E(1.21)Part11_E(2.36),1.33,0.015,1.25,1.75,1.2553363574925758,1.2560068051270497,1.2567121537143802,-2.262178625,-2.262988744,-2.263427652
Part1_E(2.38)Part3_E(1.38)Part7_E(1.19)Part10_E(1.05)Part11_E(1.28),1.38,0.015,1.25,1.75,1.262307682796747,1.2626474241996666,1.2635285419547508,-2.270000159,-2.270385464,-2.27083713
Part1_E(1.5)Part3_E(2.31)Part7_E(1.18)Part10_E(1.18)Part11_E(2.38),2.31,0.015,1.25,1.75,1.2511664626119516,1.251569069772314,1.2519817612009352,-2.261009808,-2.261481911,-2.261698749
