point_number,ICM_PC1_x_coefficient,ICM_x_intercept,ICM_PC1_y_coefficient,ICM_y_intercept,ICM_PC2_x_coefficient,ICM_PC2_y_coefficient
1,0.199534891,35.125126,0.253869509,-33.23153201,0.110800309,-0.206355066
2,0.183118414,32.31630549,0.218429611,-30.0842044,0.138075691,-0.205035925
3,0.166660134,29.50521499,0.183211281,-26.92486081,0.165309874,-0.203498453
4,0.151846635,26.04949185,0.157120715,-23.29449588,0.191378298,-0.196711555
5,0.137092733,22.59699805,0.131641009,-19.63104483,0.217505094,-0.189328092
6,0.123041181,20.08377044,0.117513361,-16.93750979,0.207651658,-0.160054335
7,0.106513929,17.53340173,0.099437833,-14.25141379,0.194980582,-0.132653308
8,0.089081518,15.0215309,0.077288598,-11.54708301,0.179398395,-0.107648579
9,0.071588894,12.48990522,0.056027323,-8.864963833,0.160347584,-0.083863379
10,0.05382801,9.949615336,0.035611416,-6.225805235,0.139468193,-0.061648556
11,0.038878168,7.378887171,0.020040029,-3.742555336,0.117837258,-0.03947044
12,0.026600759,4.503623352,0.011237504,-1.768641807,0.091289085,-0.022687524
13,0.01722168,1.269698747,0.005581975,-0.512135853,0.066352971,-0.005885481
14,0.010709235,-2.234001133,0.008236044,-0.470541972,0.036599462,0.005192758
15,0.001871994,-5.587679528,0.023410928,-1.590029556,0.002954073,0.008623555
16,-0.010801874,-8.64927999,0.04112592,-3.512601722,-0.030372063,0.008673473
17,-0.026862725,-11.33768918,0.060201104,-6.012268258,-0.061237623,0.001132151
18,-0.044547546,-13.86111837,0.081777932,-8.687546333,-0.090859184,-0.009870742
19,-0.062438789,-16.40754785,0.106681423,-11.32486459,-0.119372838,-0.02056487
20,-0.08025987,-19.00221928,0.133441976,-13.91868799,-0.145887879,-0.032517281
21,-0.098782031,-21.65168201,0.161221531,-16.44301837,-0.168997432,-0.048003572
22,-0.118100279,-24.32231078,0.186915828,-18.93246359,-0.18415265,-0.070361343
23,-0.13635027,-26.98621196,0.206938101,-21.44329112,-0.192526371,-0.09739833
24,-0.152989341,-29.6502746,0.225629353,-23.86189568,-0.197844155,-0.124544496
25,-0.168373689,-32.32649357,0.244304736,-26.15690336,-0.201713059,-0.150976185
26,-0.18177604,-34.81162728,0.2679202,-28.74723892,-0.186135488,-0.160563973
27,-0.192670745,-37.150776,0.29026591,-31.38873036,-0.168110196,-0.171187263
