point_number,ICM_PC1_x_coefficient,ICM_x_intercept,ICM_PC1_y_coefficient,ICM_y_intercept,ICM_FEA_x,ICM_FEA_y,ICM_FEA_z,ICM_PC2_x_coefficient,ICM_PC2_y_coefficient
1,0.19851148,34.96947517,0.249487777,-33.66120763,64.6982,-45.997,-15.1767,0.109204273,-0.21080411
2,0.183110829,32.21405741,0.216388424,-30.37029739,60.3407,-44.9843,-15.0881,0.138609069,-0.20740561
3,0.167710277,29.45863964,0.183288965,-27.07937998,55.9151,-44.3305,-15.0309,0.168013643,-0.204005575
4,0.153604326,26.03785364,0.159243055,-23.32052767,51.4462,-44.2351,-15.0225,0.196062838,-0.195657561
5,0.139498353,22.61706695,0.135196945,-19.56169602,47.0742,-45.1291,-15.1007,0.224112102,-0.187310475
6,0.126296724,20.15579356,0.121323713,-16.84234942,43.0543,-47.0667,-15.2702,0.215096195,-0.157565554
7,0.110270629,17.64119489,0.102960327,-14.15567982,39.4666,-49.726,-15.5029,0.202836648,-0.130310627
8,0.09315075,15.15668024,0.080230429,-11.46209901,36.1614,-52.7306,-15.7658,0.18740115,-0.105844921
9,0.075760988,12.64234678,0.058194953,-8.800910562,33.1283,-56.0072,-16.0524,0.168190514,-0.082837806
10,0.057866979,10.10852966,0.036808176,-6.193042887,30.4003,-59.5403,-16.3615,0.146829186,-0.061619022
11,0.042671154,7.53790397,0.020143703,-3.750427113,27.8266,-63.188,-16.6807,0.124564503,-0.040477206
12,0.030204888,4.658920709,0.010186564,-1.829629456,25.0592,-66.6889,-16.987,0.097624255,-0.02447781
13,0.020939646,1.434595255,0.003525367,-0.623230393,21.5469,-69.3882,-17.2231,0.072598618,-0.00812476
14,0.014769263,-2.049873586,0.007017217,-0.541150201,17.4855,-68.26,-17.1244,0.042895346,0.004381404
15,0.005622177,-5.417013305,0.023946416,-1.583801449,14.5222,-64.925,-16.8326,0.00851573,0.010204666
16,-0.007378807,-8.487968955,0.043045101,-3.452003396,11.7319,-61.439,-16.5277,-0.025675241,0.012171481
17,-0.02354112,-11.17032881,0.063095368,-5.919269068,8.86806,-58.0128,-16.2279,-0.05715539,0.00591708
18,-0.041181191,-13.67836865,0.085504948,-8.571345014,5.89834,-54.6774,-15.9361,-0.087228183,-0.004009007
19,-0.058933281,-16.20469122,0.111211021,-11.1893062,2.76881,-51.4909,-15.6573,-0.116062518,-0.013645371
20,-0.076462867,-18.77291594,0.138643325,-13.77076031,-0.592816,-48.5496,-15.4,-0.142645727,-0.024735739
21,-0.094522027,-21.3881276,0.166886097,-16.29260619,-4.23556,-45.9631,-15.1737,-0.165526634,-0.039703572
22,-0.113183506,-24.01394908,0.192662454,-18.79719083,-8.2056,-43.9205,-14.995,-0.180145314,-0.062081354
23,-0.130504369,-26.61943651,0.21192691,-21.3625007,-12.5635,-42.9932,-14.9139,-0.187615974,-0.09013803
24,-0.146137642,-29.22251856,0.228966575,-23.8813383,-16.996,-43.4795,-14.9564,-0.191886583,-0.11925586
25,-0.160620317,-31.84448301,0.245473042,-26.30353614,-21.2456,-44.8677,-15.0779,-0.194782233,-0.148185661
26,-0.173004162,-34.27467305,0.266423848,-29.04661771,-25.3241,-46.7,-15.2382,-0.177573588,-0.16057387
27,-0.185384287,-36.69448207,0.287240834,-31.77919506,,,,-0.160369604,-0.172889371
