point_number,LP_PC1_x_coefficient,LP_x_intercept,LP_PC1_y_coefficient,LP_y_intercept,LP_FEA_x,LP_FEA_y,LP_FEA_z,LP_PC2_x_coefficient,LP_PC2_y_coefficient
1,0.378906757,-33.00952839,0.369629232,53.55408312,-6.39726877,-34.672,-17.542,-0.199986544,0.303849366
2,0.321193941,-36.93920745,0.315279151,48.85558702,-5.04027612,-33.755,-11.193,-0.216460439,0.297111903
3,0.292216664,-38.9058601,0.241672588,42.93723881,-5.68151146,-33.266,-5.494,-0.258568504,0.296632654
4,0.293097453,-36.49864073,0.242959559,34.11679461,-4.92321163,-36.345,1.028,-0.284246825,0.283626806
5,0.270955598,-31.29860816,0.226706644,26.32077094,-4.60540577,-42.385,6.881,-0.313930838,0.250387835
6,0.192542575,-23.76885373,0.200493661,20.71274096,-2.90886868,-48.409,11.603,-0.298056857,0.222426808
7,0.10006926,-15.27798674,0.128096373,16.51551918,-2.02065635,-62.995,13.243,-0.274364755,0.204027161
8,0.00E+00,0,0,0,0,-68.5,28.2,0,0
9,,,,,,,15.313,,
required to make row strings,,,,,,,,,
